text,favorite_count,retweet_count,created_at,lang,user.screen_name,user.name,user.time_zone,user.followers_count,user.statuses_count,_id
"Due to popular request, here are my vacation playlists: http://t.co/uer5sIl4Vk http://t.co/zHEekHvQBr What's your favorite summer song?",14005,8684,Fri Aug 14 15:30:35 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,632212730209009664
"President Carter is as good a man as they come. Michelle and I are praying for him and Rosalynn. We're all pulling for you, Jimmy.",17179,6459,Thu Aug 20 17:14:53 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,634413305516412928
The National Park Service: 99 years and 84 million acres strong. Congrats to all who work to protect these treasures. http://t.co/R8RyB9vkVW,14049,5886,Tue Aug 25 17:55:38 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,636235501658222592
"Amidst global volatility, Congress should protect the momentum of our growing economy (not kill it). We must avoid shutdown / austerity.",3919,1626,Thu Aug 27 15:27:51 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,636923084818259968
"In Treme, I was inspired by the progress &amp; people 10 years after Katrina. It gives us hope, but our work isn't done. http://t.co/LDqsARhnZt",7508,2646,Sat Aug 29 21:09:18 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,637733790090199040
"Today we’re returning Mount McKinley to its native name - Denali, a step to reflect the heritage of Alaska Natives. http://t.co/WyzQImKymX",30560,15111,Mon Aug 31 17:31:01 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,638403631306248192
I loved Alaska and met so many inspiring people. Have to keep up the fight on climate change for their sake—and ours. http://t.co/HzWW0S6iQc,22846,9398,Thu Sep 03 18:42:44 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,639508843773468672
"Thank you, Colin, for putting your experience and expertise behind this important initiative for our country. https://t.co/bSnaLMs8CU",5280,2707,Sun Sep 06 16:45:57 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,640566616925818880
Today's Senate vote on the Iran deal is a historic step toward preventing Iran from obtaining a nuclear weapon. The world is safer for it.,7681,3105,Thu Sep 10 21:15:51 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,642084092113256450
"14 years after the terrorist attacks of 9/11, we honor those we lost. We salute all who serve to keep us safe. We stand as strong as ever.",50154,42405,Fri Sep 11 13:24:05 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,642327755221299200
"""@FAFSA"" might be hard to say, but filling it out can help you pay for college. FLOTUS, you're up! #5TimesFAFSA http://t.co/y1Jv8aeGUH",4999,2765,Mon Sep 14 15:06:10 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,643440607721992192
"7 years ago today, Lehman Brothers filed for bankruptcy, setting off the worst financial crisis in decades. Here's how far we've come:",5948,3300,Tue Sep 15 20:20:41 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,643882148315951104
"When I took office, 800,000 Americans lost their jobs each month. Our businesses have now added 13.1 million jobs over 66 straight months.",7867,6156,Tue Sep 15 20:21:43 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,643882408283086848
We've cut the unemployment rate in half – from a high of 10% down to 5.1%. And we're not done. http://t.co/uRfaSoiGuA,6977,5618,Tue Sep 15 20:24:27 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,643883096689913856
"In 2009, our auto industry was flatlining. Now our workers are on pace to sell more American cars and trucks than any year since 2001.",4116,2798,Tue Sep 15 20:27:51 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,643883952093073408
"When I took office, 15.4% of our population was uninsured. Today, we’ve cut that by more than a third. http://t.co/3OOqcz8Oxp",5533,3813,Tue Sep 15 20:30:45 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,643884680253599744
"When I took office, the budget deficit had reached 9.2% of our GDP. We've cut that down to 2.8%. http://t.co/3viaw4b0bB",10952,7085,Tue Sep 15 20:33:37 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,643885400847593472
We've fought back because of you. We shouldn't slip back because of Congress. I urge them to send me a budget that invests in our future.,7775,3001,Tue Sep 15 20:36:39 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,643886166769405952
"Cool clock, Ahmed. Want to bring it to the White House? We should inspire more kids like you to like science. It's what makes America great.",443727,432199,Wed Sep 16 16:58:54 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,644193755814342656
Our right to vote is sacred. It's the foundation of our democracy. You can find out how to register to vote at http://t.co/8kaqY0U3fn.,5463,4134,Tue Sep 22 15:52:10 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,646351288964354049
Millions of families are more secure thanks to the ACA. Join them and #GetCovered on Nov 1: http://t.co/PJ7xIL6FjY  https://t.co/GF6yS0aHol,1883,978,Tue Sep 22 18:27:13 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,646390309551775744
"Welcome to the White House, @Pontifex! Your messages of love, hope, and peace have inspired us all.",14909,7241,Wed Sep 23 12:45:23 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,646666671864852480
"Yogi Berra was an American original - a Hall of Famer, jovial prophet, &amp; a humble veteran. We'll miss you, Yogi, but your legacy ain't over.",11597,5265,Wed Sep 23 20:42:08 +0000 2015,en,POTUS,President Obama,Atlantic Time (Canada),5306499,171,646786649251164160
